四则运算题目.0	456/410=
四则运算题目.5494	859*937-793=
四则运算题目.5495	642-730+829=
四则运算题目.5496	67/679*138=
四则运算题目.5497	634+218*851=
四则运算题目.5498	139-60+984=
四则运算题目.5499	563*572=
四则运算题目.5500	1-237=
四则运算题目.5501	536-706-535=
四则运算题目.5502	895+841*82=
四则运算题目.5503	117-878/657=
四则运算题目.5504	638+502*785=
四则运算题目.5505	181+159=
四则运算题目.5506	71-793*101=
四则运算题目.5507	123/24*348=
四则运算题目.5508	707-253+775=
四则运算题目.5509	855+38=
四则运算题目.5510	821-977=
四则运算题目.5511	394/625+11=
四则运算题目.5512	169+694=
四则运算题目.5513	703+51*563=
四则运算题目.5514	656-281=
四则运算题目.5515	109/116*911=
四则运算题目.5516	486*142=
四则运算题目.5517	35-134*89=
四则运算题目.5518	793*637+680=
四则运算题目.5519	262*85/74=
四则运算题目.5520	215-477-764=
四则运算题目.5521	694-880=
四则运算题目.5522	241-880+252=
四则运算题目.5523	649-635=
四则运算题目.5524	670-885-574=
四则运算题目.5525	689-573-197=
四则运算题目.5526	763-821=
四则运算题目.5527	853*436/447=
四则运算题目.5528	554+957-253=
四则运算题目.5529	486-938-143=
四则运算题目.5530	806*413=
四则运算题目.5531	45+380=
四则运算题目.5532	208+422+782=
四则运算题目.5533	336*712*903=
四则运算题目.5534	312+209/999=
四则运算题目.5535	770*130-476=
四则运算题目.5536	156+22=
四则运算题目.5537	357*36=
四则运算题目.5538	298+751*39=
四则运算题目.5539	37-361/481=
四则运算题目.5540	62+744+400=
四则运算题目.5541	500-475/129=
四则运算题目.5542	624-811/277=
四则运算题目.5543	4-596*809=
四则运算题目.5544	280*664+700=
四则运算题目.5545	464/478+995=
四则运算题目.5546	521+491-474=
四则运算题目.5547	787*314/976=
四则运算题目.5548	871/660+121=
四则运算题目.5549	908*818=
四则运算题目.5550	1/404*731=
四则运算题目.5551	884+968=
四则运算题目.5552	159-48/167=
四则运算题目.5553	707/946=
四则运算题目.5554	656+818+334=
四则运算题目.5555	740/376+537=
四则运算题目.5556	850*215=
四则运算题目.5557	24*115*136=
四则运算题目.5558	806*590=
四则运算题目.5559	582-52+197=
四则运算题目.5560	281+803/493=
四则运算题目.5561	160*46=
四则运算题目.5562	793*37=
四则运算题目.5563	569*118*781=
四则运算题目.5564	971*991/154=
四则运算题目.5565	164-517*65=
四则运算题目.5566	499+646/555=
四则运算题目.5567	486-839+451=
四则运算题目.5568	903*749+429=
四则运算题目.5569	637/668=
四则运算题目.5570	243*773-812=
四则运算题目.5571	463+17*666=
四则运算题目.5572	895-417*146=
四则运算题目.5573	597/475-57=
四则运算题目.5574	110*657/44=
四则运算题目.5575	179-829/599=
四则运算题目.5576	312/527*723=
四则运算题目.5577	515+130*203=
四则运算题目.5578	39/879*525=
四则运算题目.5579	55/273-498=
四则运算题目.5580	447+797-580=
四则运算题目.5581	26-853=
四则运算题目.5582	177*495=
四则运算题目.5583	169-915=
四则运算题目.5584	181-703-95=
四则运算题目.5585	510*860/610=
四则运算题目.5586	65/148-146=
四则运算题目.5587	430-511+266=
四则运算题目.5588	298/595-739=
四则运算题目.5589	205+999-5=
四则运算题目.5590	928*248*818=
四则运算题目.5591	756*613=
四则运算题目.5592	410/636/78=
四则运算题目.5593	13-305/775=
四则运算题目.5594	267-746-243=
四则运算题目.5595	910+833=
四则运算题目.5596	9*361/417=
四则运算题目.5597	214-382=
四则运算题目.5598	565+235/25=
四则运算题目.5599	105+608=
四则运算题目.5600	168-33+676=
四则运算题目.5601	719+754+632=
四则运算题目.5602	945-652-708=
四则运算题目.5603	326/340/230=
四则运算题目.5604	837+753=
四则运算题目.5605	27/388=
四则运算题目.5606	500-387-58=
四则运算题目.5607	834-981/284=
四则运算题目.5608	933*520=
四则运算题目.5609	227+499*437=
四则运算题目.5610	662-330=
四则运算题目.5611	699*56*824=
四则运算题目.5612	512-778-570=
四则运算题目.5613	142/946*740=
四则运算题目.5614	762*279-643=
四则运算题目.5615	631/21+819=
四则运算题目.5616	271+186+837=
四则运算题目.5617	499+442-233=
四则运算题目.5618	990*951=
四则运算题目.5619	367/718+732=
四则运算题目.5620	533+595/78=
四则运算题目.5621	936/802-203=
四则运算题目.5622	122/141/710=
四则运算题目.5623	817/536-783=
四则运算题目.5624	348/126=
四则运算题目.5625	57+909+16=
四则运算题目.5626	937/326*897=
四则运算题目.5627	613-1000-308=
四则运算题目.5628	46/302+718=
四则运算题目.5629	235/59/165=
四则运算题目.5630	468+370/554=
四则运算题目.5631	465/795*835=
四则运算题目.5632	403+492/558=
四则运算题目.5633	299/322*481=
四则运算题目.5634	37-778*263=
四则运算题目.5635	853+728/92=
四则运算题目.5636	811*721*204=
四则运算题目.5637	75-541*737=
四则运算题目.5638	595/880*958=
四则运算题目.5639	295-352=
四则运算题目.5640	199+874/491=
四则运算题目.5641	991/480-219=
四则运算题目.5642	684-212-784=
四则运算题目.5643	330*959*345=
四则运算题目.5644	244/877*270=
四则运算题目.5645	207-448*914=
四则运算题目.5646	788+449/337=
四则运算题目.5647	216/893+709=
四则运算题目.5648	248+735*498=
四则运算题目.5649	296+389/142=
四则运算题目.5650	775*703-750=
四则运算题目.5651	631+897=
四则运算题目.5652	971+666=
四则运算题目.5653	592+197-145=
四则运算题目.5654	383*688+953=
四则运算题目.5655	421/397+587=
四则运算题目.5656	772*240/539=
四则运算题目.5657	467/233-231=
四则运算题目.5658	521+808-959=
四则运算题目.5659	758/973+195=
四则运算题目.5660	359+604=
四则运算题目.5661	373/826=
四则运算题目.5662	658/439=
四则运算题目.5663	791*437=
四则运算题目.5664	607*887/46=
四则运算题目.5665	710+427=
四则运算题目.5666	122-273+113=
四则运算题目.5667	530+727+368=
四则运算题目.5668	7+777/441=
四则运算题目.5669	63+29+969=
四则运算题目.5670	365/675-650=
四则运算题目.5671	583*203=
四则运算题目.5672	974*832-112=
四则运算题目.5673	860-626+717=
四则运算题目.5674	107-532*380=
四则运算题目.5675	502/433/737=
四则运算题目.5676	671-453+806=
四则运算题目.5677	192*726/28=
四则运算题目.5678	815-333/426=
四则运算题目.5679	734+121=
四则运算题目.5680	468+475/765=
四则运算题目.5681	398+627=
四则运算题目.5682	303+814*342=
四则运算题目.5683	223/402+100=
四则运算题目.5684	260+533*671=
四则运算题目.5685	839+937=
四则运算题目.5686	923*145/902=
四则运算题目.5687	172*491-322=
四则运算题目.5688	846/11=
四则运算题目.5689	385+404*916=
四则运算题目.5690	540/928-128=
四则运算题目.5691	144+241+359=
四则运算题目.5692	474*223=
四则运算题目.5693	865*409*359=
四则运算题目.5694	364*774+964=
四则运算题目.5695	607*387+226=
四则运算题目.5696	884-43-157=
四则运算题目.5697	593+805*572=
四则运算题目.5698	967/956=
四则运算题目.5699	408*794+573=
四则运算题目.5700	929-687-63=
四则运算题目.5701	349-677=
四则运算题目.5702	407*486+352=
四则运算题目.5703	365*106/722=
四则运算题目.5704	588/11+322=
四则运算题目.5705	873*967=
四则运算题目.5706	210-293=
四则运算题目.5707	337-121/482=
四则运算题目.5708	398-927*78=
四则运算题目.5709	637-316/110=
四则运算题目.5710	857*698=
四则运算题目.5711	947-547=
四则运算题目.5712	180-714=
四则运算题目.5713	602/235*504=
四则运算题目.5714	928/873-167=
四则运算题目.5715	221-10*391=
四则运算题目.5716	890+639=
四则运算题目.5717	796/432*913=
四则运算题目.5718	685+450-240=
四则运算题目.5719	59/933*934=
四则运算题目.5720	466*453=
四则运算题目.5721	728*899=
四则运算题目.5722	22-16-253=
四则运算题目.5723	542*277*149=
四则运算题目.5724	73*486+832=
四则运算题目.5725	102+745+120=
四则运算题目.5726	859-903/402=
四则运算题目.5727	450+421=
四则运算题目.5728	889*319=
四则运算题目.5729	95-383+78=
四则运算题目.5730	238/206/696=
四则运算题目.5731	319-295-350=
四则运算题目.5732	557*468+606=
四则运算题目.5733	686-3+404=
四则运算题目.5734	146+222/401=
四则运算题目.5735	273-660*541=
四则运算题目.5736	439+664/32=
四则运算题目.5737	350-381=
四则运算题目.5738	603+247-466=
四则运算题目.5739	889-998=
四则运算题目.5740	175/59*409=
四则运算题目.5741	106/446/693=
四则运算题目.5742	190-193*469=
四则运算题目.5743	814/994*674=
四则运算题目.5744	749/590/271=
四则运算题目.5745	461*974=
四则运算题目.5746	557+130*467=
四则运算题目.5747	792+442+365=
四则运算题目.5748	388*721/309=
四则运算题目.5749	967-933*516=
四则运算题目.5750	428+197=
四则运算题目.5751	264-736-2=
四则运算题目.5752	249+168-760=
四则运算题目.5753	641+703+565=
四则运算题目.5754	233*529-461=
四则运算题目.5755	776/615/381=
四则运算题目.5756	279*909=
四则运算题目.5757	702+430=
四则运算题目.5758	261-570+389=
四则运算题目.5759	672/762/118=
四则运算题目.5760	999/166=
四则运算题目.5761	606*284*643=
四则运算题目.5762	631/556=
四则运算题目.5763	813+176-132=
四则运算题目.5764	467-984*340=
四则运算题目.5765	141-345=
四则运算题目.5766	514-625*681=
四则运算题目.5767	51+727/857=
四则运算题目.5768	718*296*240=
四则运算题目.5769	286*777=
四则运算题目.5770	879*180=
四则运算题目.5771	111*703*304=
四则运算题目.5772	623/174/266=
四则运算题目.5773	456+468=
四则运算题目.5774	428+123/972=
四则运算题目.5775	224*797=
四则运算题目.5776	350/812/595=
四则运算题目.5777	570-359=
四则运算题目.5778	557*829=
四则运算题目.5779	210*415+829=
四则运算题目.5780	63-883*644=
四则运算题目.5781	957*6*33=
四则运算题目.5782	502/141/154=
四则运算题目.5783	567*921-493=
四则运算题目.5784	616-814=
四则运算题目.5785	652+101-524=
四则运算题目.5786	40-428*748=
四则运算题目.5787	573*91+348=
四则运算题目.5788	55*690=
四则运算题目.5789	18*252/527=
四则运算题目.5790	562+544=
四则运算题目.5791	466-515=
四则运算题目.5792	326*813=
四则运算题目.5793	372*249-969=
四则运算题目.5794	651/853=
四则运算题目.5795	980/471=
四则运算题目.5796	280/198/960=
四则运算题目.5797	796*665+49=
四则运算题目.5798	318-724*970=
四则运算题目.5799	999/409=
四则运算题目.5800	568*54=
四则运算题目.5801	121-480=
四则运算题目.5802	21+278+736=
四则运算题目.5803	435*317*133=
四则运算题目.5804	532*812=
四则运算题目.5805	752/259/17=
四则运算题目.5806	658*796/216=
四则运算题目.5807	272-515/534=
四则运算题目.5808	400/698+876=
四则运算题目.5809	494/766=
四则运算题目.5810	151+644/145=
四则运算题目.5811	726-159-673=
四则运算题目.5812	279/933-412=
四则运算题目.5813	325+935/34=
四则运算题目.5814	148+170=
四则运算题目.5815	564/500+642=
四则运算题目.5816	425/363-617=
四则运算题目.5817	623-792/1000=
四则运算题目.5818	811+895-334=
四则运算题目.5819	986/513=
四则运算题目.5820	739+970*1=
四则运算题目.5821	387/196*468=
四则运算题目.5822	302-944=
四则运算题目.5823	261+857*967=
四则运算题目.5824	952*933=
四则运算题目.5825	820+419-66=
四则运算题目.5826	846*58=
四则运算题目.5827	870+123/988=
四则运算题目.5828	66-667/339=
四则运算题目.5829	636-641-426=
四则运算题目.5830	639*731*194=
四则运算题目.5831	99+222-630=
四则运算题目.5832	805+165*591=
四则运算题目.5833	435/864-179=
四则运算题目.5834	339/770=
四则运算题目.5835	297*700-498=
四则运算题目.5836	728*370*661=
四则运算题目.5837	377+31=
四则运算题目.5838	185-188=
四则运算题目.5839	792+915/98=
四则运算题目.5840	529-456/897=
四则运算题目.5841	624/884=
四则运算题目.5842	363*878+729=
四则运算题目.5843	746*203=
四则运算题目.5844	484-681/674=
四则运算题目.5845	84-737=
四则运算题目.5846	559+144/379=
四则运算题目.5847	120/840=
四则运算题目.5848	245/900*517=
四则运算题目.5849	903+281*264=
四则运算题目.5850	483-58=
四则运算题目.5851	771*675/39=
四则运算题目.5852	821-515*492=
四则运算题目.5853	773/77*414=
四则运算题目.5854	865/362=
四则运算题目.5855	820*464+990=
四则运算题目.5856	943*594-186=
四则运算题目.5857	318/407/371=
四则运算题目.5858	930+417=
四则运算题目.5859	815+974-409=
四则运算题目.5860	779*698-761=
四则运算题目.5861	886/29-241=
四则运算题目.5862	191*347=
四则运算题目.5863	492/333+646=
四则运算题目.5864	461-869*425=
四则运算题目.5865	489-45*894=
四则运算题目.5866	425/455=
四则运算题目.5867	901/625+975=
四则运算题目.5868	562/493-848=
四则运算题目.5869	65/730=
四则运算题目.5870	95-330/338=
四则运算题目.5871	948-841*658=
四则运算题目.5872	623+139*114=
四则运算题目.5873	627/140/220=
四则运算题目.5874	641/554=
四则运算题目.5875	90+597=
四则运算题目.5876	824-274-859=
四则运算题目.5877	439-461=
四则运算题目.5878	929/384-101=
四则运算题目.5879	660-661*5=
四则运算题目.5880	881/536+213=
四则运算题目.5881	115/414/295=
四则运算题目.5882	590*134/962=
四则运算题目.5883	469-860*768=
四则运算题目.5884	232+829+863=
四则运算题目.5885	260/362=
四则运算题目.5886	194/848=
四则运算题目.5887	388+870=
四则运算题目.5888	119*629/251=
四则运算题目.5889	784*113=
四则运算题目.5890	729*382=
四则运算题目.5891	300/325-382=
四则运算题目.5892	270*141*305=
四则运算题目.5893	573/737=
四则运算题目.5894	37*137/115=
四则运算题目.5895	519/235/601=
四则运算题目.5896	66-800=
四则运算题目.5897	246+88/82=
四则运算题目.5898	456*943=
四则运算题目.5899	241-56-334=
四则运算题目.5900	679/184=
四则运算题目.5901	188*651=
四则运算题目.5902	288*652*293=
四则运算题目.5903	549/712+771=
四则运算题目.5904	383/178/278=
四则运算题目.5905	226*769-620=
四则运算题目.5906	81/963/809=
四则运算题目.5907	18/15=
四则运算题目.5908	394+926-804=
四则运算题目.5909	704+763=
四则运算题目.5910	735-884=
四则运算题目.5911	892/158-282=
四则运算题目.5912	454/57=
四则运算题目.5913	353-184=
四则运算题目.5914	120*609+919=
四则运算题目.5915	473-809-77=
四则运算题目.5916	756*225/930=
四则运算题目.5917	944/369=
四则运算题目.5918	427-354*345=
四则运算题目.5919	528/834+752=
四则运算题目.5920	981-209-882=
四则运算题目.5921	872*223/740=
四则运算题目.5922	398/749/360=
四则运算题目.5923	822/715*132=
四则运算题目.5924	116*334=
四则运算题目.5925	276-348=
四则运算题目.5926	892/310+282=
四则运算题目.5927	741-379-611=
四则运算题目.5928	923+94-811=
四则运算题目.5929	172+502-394=
四则运算题目.5930	715*986=
四则运算题目.5931	760/656+278=
四则运算题目.5932	714/70*693=
四则运算题目.5933	288*990*931=
四则运算题目.5934	618*527+558=
四则运算题目.5935	473+866-690=
四则运算题目.5936	732-665-474=
四则运算题目.5937	822+742=
四则运算题目.5938	562-750-879=
四则运算题目.5939	654-793=
四则运算题目.5940	283-205+850=
四则运算题目.5941	47+474*474=
四则运算题目.5942	692-65/233=
四则运算题目.5943	8-62-939=
四则运算题目.5944	467-359=
四则运算题目.5945	520-540-274=
四则运算题目.5946	350/470+226=
四则运算题目.5947	734/373-913=
四则运算题目.5948	962-65=
四则运算题目.5949	346+435=
四则运算题目.5950	19-465+408=
四则运算题目.5951	171-760=
四则运算题目.5952	926*805+395=
四则运算题目.5953	860/338*52=
四则运算题目.5954	262*378-563=
四则运算题目.5955	655/428-983=
四则运算题目.5956	256+693-196=
四则运算题目.5957	241-513=
四则运算题目.5958	404*755=
四则运算题目.5959	683*791/214=
四则运算题目.5960	527/672*923=
四则运算题目.5961	504*302=
四则运算题目.5962	583*445*673=
四则运算题目.5963	369/937=
四则运算题目.5964	341+181-907=
四则运算题目.5965	396*339*761=
四则运算题目.5966	255*395/690=
四则运算题目.5967	310+593-960=
四则运算题目.5968	992+735+720=
四则运算题目.5969	323*845+708=
四则运算题目.5970	893-177*220=
四则运算题目.5971	439*959+224=
四则运算题目.5972	410/111+927=
四则运算题目.5973	216+58*148=
四则运算题目.5974	261-421=
四则运算题目.5975	285-243/146=
四则运算题目.5976	736-699=
四则运算题目.5977	632-511/965=
四则运算题目.5978	183+480*439=
四则运算题目.5979	358-153/69=
四则运算题目.5980	209-392=
四则运算题目.5981	881+617*990=
四则运算题目.5982	617+963+498=
四则运算题目.5983	971+111=
四则运算题目.5984	787-722*349=
四则运算题目.5985	308-92+343=
四则运算题目.5986	444-896*919=
四则运算题目.5987	5+510-663=
四则运算题目.5988	414+206-260=
四则运算题目.5989	113+749+164=
四则运算题目.5990	513*163=
四则运算题目.5991	614+92*771=
四则运算题目.5992	995/312*492=
四则运算题目.5993	519/742=
四则运算题目.5994	795-181=
四则运算题目.5995	369+844=
四则运算题目.5996	379/366/513=
四则运算题目.5997	160/701-945=
四则运算题目.5998	748+884=
四则运算题目.5999	76*763+157=
四则运算题目.6000	190-636=
四则运算题目.6001	217-953-339=
四则运算题目.6002	290/203/973=
四则运算题目.6003	650*694=
四则运算题目.6004	293-362+906=
四则运算题目.6005	862+739/613=
四则运算题目.6006	820-360=
四则运算题目.6007	404*964+30=
四则运算题目.6008	845/709*38=
四则运算题目.6009	513/56*868=
四则运算题目.6010	528/127+652=
四则运算题目.6011	576-270*68=
四则运算题目.6012	343-231*640=
四则运算题目.6013	343/746=
四则运算题目.6014	28+712+992=
四则运算题目.6015	358-387+378=
四则运算题目.6016	118*267=
四则运算题目.6017	79-50*577=
四则运算题目.6018	433*842-244=
四则运算题目.6019	782+852=
四则运算题目.6020	902-595-268=
四则运算题目.6021	397*215-442=
四则运算题目.6022	415+665=
四则运算题目.6023	927-871/35=
四则运算题目.6024	381/993*457=
四则运算题目.6025	810+971*975=
四则运算题目.6026	955-230*147=
四则运算题目.6027	897*990=
四则运算题目.6028	100-881+995=
四则运算题目.6029	173/188/216=
四则运算题目.6030	158+76+937=
四则运算题目.6031	879+291=
四则运算题目.6032	868*436*106=
四则运算题目.6033	852/594+859=
四则运算题目.6034	189+802/984=
四则运算题目.6035	236-70=
四则运算题目.6036	820+548/833=
四则运算题目.6037	572*331-612=
四则运算题目.6038	465/472/197=
四则运算题目.6039	325/966/285=
四则运算题目.6040	615+797+864=
四则运算题目.6041	240-948=
四则运算题目.6042	520/169=
四则运算题目.6043	936*587=
四则运算题目.6044	492/948=
四则运算题目.6045	589*430=
四则运算题目.6046	364-819=
四则运算题目.6047	759/374+223=
四则运算题目.6048	568+769=
四则运算题目.6049	772/116=
四则运算题目.6050	960+900=
四则运算题目.6051	552/301=
四则运算题目.6052	953*320*556=
四则运算题目.6053	717+369=
四则运算题目.6054	68-897+13=
四则运算题目.6055	726*991*908=
四则运算题目.6056	731-719/143=
四则运算题目.6057	597-800*635=
四则运算题目.6058	608/108/338=
四则运算题目.6059	668+461*650=
四则运算题目.6060	235/672-675=
四则运算题目.6061	829/208=
四则运算题目.6062	703*660-424=
四则运算题目.6063	227*897/940=
四则运算题目.6064	453*135+188=
四则运算题目.6065	189+490*67=
四则运算题目.6066	142+187+772=
四则运算题目.6067	720*502-479=
四则运算题目.6068	388-622=
四则运算题目.6069	977+43+133=
四则运算题目.6070	192+234-334=
四则运算题目.6071	647+298/838=
四则运算题目.6072	556+754*438=
四则运算题目.6073	388+878/375=
四则运算题目.6074	592*857=
四则运算题目.6075	790*387=
四则运算题目.6076	683-456=
四则运算题目.6077	22/632+406=
四则运算题目.6078	593*627=
四则运算题目.6079	427/216+360=
四则运算题目.6080	390-649-739=
四则运算题目.6081	977-337+656=
四则运算题目.6082	67-591=
四则运算题目.6083	258-35/940=
四则运算题目.6084	729/425=
四则运算题目.6085	662/951=
四则运算题目.6086	981/102=
四则运算题目.6087	823-805*436=
四则运算题目.6088	245-736/841=
四则运算题目.6089	718+703=
四则运算题目.6090	7/348-968=
四则运算题目.6091	404/592/526=
四则运算题目.6092	710-447=
四则运算题目.6093	611/489+803=
四则运算题目.6094	648+961=
四则运算题目.6095	694+889/312=
四则运算题目.6096	697*859=
四则运算题目.6097	241-115/78=
四则运算题目.6098	853-718/253=
四则运算题目.6099	74+153-636=
四则运算题目.6100	551/453+818=
四则运算题目.6101	978*811*244=
四则运算题目.6102	511+595*371=
四则运算题目.6103	462*978/882=
四则运算题目.6104	164/757=
四则运算题目.6105	72/111=
四则运算题目.6106	522/347=
四则运算题目.6107	418+485+611=
四则运算题目.6108	997/365-567=
四则运算题目.6109	785/119-832=
四则运算题目.6110	421-439=
四则运算题目.6111	190-867=
四则运算题目.6112	251-452=
四则运算题目.6113	553*935*428=
四则运算题目.6114	432*629=
四则运算题目.6115	645+53=
四则运算题目.6116	312-208=
四则运算题目.6117	964*787/3=
四则运算题目.6118	764*175-115=
四则运算题目.6119	852*950=
四则运算题目.6120	881-735=
四则运算题目.6121	76-386*551=
四则运算题目.6122	519/665+524=
四则运算题目.6123	268-696+460=
四则运算题目.6124	742-156+397=
四则运算题目.6125	460/573=
四则运算题目.6126	49+539=
四则运算题目.6127	125-747+685=
四则运算题目.6128	671*917/538=
四则运算题目.6129	921/192+69=
四则运算题目.6130	941+960/230=
四则运算题目.6131	541/552+506=
四则运算题目.6132	448*53-134=
四则运算题目.6133	826-142/464=
四则运算题目.6134	735+500=
四则运算题目.6135	196/392=
四则运算题目.6136	921*337/607=
四则运算题目.6137	149+143=
四则运算题目.6138	150/227/290=
四则运算题目.6139	957-395=
四则运算题目.6140	254*443=
四则运算题目.6141	242+524-1000=
四则运算题目.6142	483/664=
四则运算题目.6143	355-733*617=
四则运算题目.6144	660/801-847=
四则运算题目.6145	176-392=
四则运算题目.6146	144/996=
四则运算题目.6147	608/34/181=
四则运算题目.6148	85-913/890=
四则运算题目.6149	259+781+141=
四则运算题目.6150	238+83=
四则运算题目.6151	408-428-906=
四则运算题目.6152	245-21=
四则运算题目.6153	724*520=
四则运算题目.6154	449/871=
四则运算题目.6155	678+545+504=
四则运算题目.6156	265/738+750=
四则运算题目.6157	154+803-112=
四则运算题目.6158	421-744=
四则运算题目.6159	297*84=
四则运算题目.6160	990/983=
四则运算题目.6161	567+125*21=
四则运算题目.6162	341-341=
四则运算题目.6163	518-326=
四则运算题目.6164	543/566=
四则运算题目.6165	851-432+708=
四则运算题目.6166	249/510+522=
四则运算题目.6167	804*658*858=
四则运算题目.6168	328+959=
四则运算题目.6169	679/729/333=
四则运算题目.6170	343-310+213=
四则运算题目.6171	600-606-39=
四则运算题目.6172	736*638=
四则运算题目.6173	374+775=
四则运算题目.6174	918*312+456=
四则运算题目.6175	393-355*154=
四则运算题目.6176	974-630/672=
四则运算题目.6177	879-574+434=
四则运算题目.6178	342/894+232=
四则运算题目.6179	171-124/294=
四则运算题目.6180	899+245=
四则运算题目.6181	649-630=
四则运算题目.6182	233+288/929=
四则运算题目.6183	745-636+123=
四则运算题目.6184	477+363/193=
四则运算题目.6185	53*255=
四则运算题目.6186	974/430/11=
四则运算题目.6187	353*564-214=
四则运算题目.6188	996*42-213=
四则运算题目.6189	746/380=
四则运算题目.6190	834+777=
四则运算题目.6191	89*908=
四则运算题目.6192	985+508*584=
四则运算题目.6193	549/54=
四则运算题目.6194	622/949+39=
四则运算题目.6195	276/4=
四则运算题目.6196	343*473=
四则运算题目.6197	244/857+290=
四则运算题目.6198	195/672=
四则运算题目.6199	383/501-951=
四则运算题目.6200	224+58+137=
四则运算题目.6201	936+469+839=
四则运算题目.6202	979+987*74=
四则运算题目.6203	418/373-748=
四则运算题目.6204	175*463/4=
四则运算题目.6205	116/5-737=
四则运算题目.6206	747+280-396=
四则运算题目.6207	66/368+372=
四则运算题目.6208	584*12/532=
四则运算题目.6209	957*739+548=
四则运算题目.6210	921+142=
四则运算题目.6211	888+61=
四则运算题目.6212	850/890*29=
四则运算题目.6213	95*195*964=
四则运算题目.6214	501-184=
四则运算题目.6215	208-269=
四则运算题目.6216	929*62*250=
四则运算题目.6217	331+420=
四则运算题目.6218	352/60=
四则运算题目.6219	698+214+994=
四则运算题目.6220	297*599-18=
四则运算题目.6221	775-673=
四则运算题目.6222	804-532+362=
四则运算题目.6223	961+744=
四则运算题目.6224	411/223=
四则运算题目.6225	791+609=
四则运算题目.6226	771/79=
四则运算题目.6227	299-57*799=
四则运算题目.6228	202+650/295=
四则运算题目.6229	544*443=
四则运算题目.6230	208+26=
四则运算题目.6231	213-735/820=
四则运算题目.6232	992-278=
四则运算题目.6233	138+843=
四则运算题目.6234	875+556*330=
四则运算题目.6235	198*192*714=
四则运算题目.6236	469/378/994=
四则运算题目.6237	145/276/557=
四则运算题目.6238	525*778/563=
四则运算题目.6239	928-247-444=
四则运算题目.6240	666+594*45=
四则运算题目.6241	293*730+999=
四则运算题目.6242	377-952/864=
四则运算题目.6243	2/642=
四则运算题目.6244	994*450=
四则运算题目.6245	881*939-473=
四则运算题目.6246	255-300=
四则运算题目.6247	990+642*995=
四则运算题目.6248	86/222+734=
四则运算题目.6249	605*385/586=
四则运算题目.6250	616*342/820=
四则运算题目.6251	82*454*170=
四则运算题目.6252	561*405=
四则运算题目.6253	536*481=
四则运算题目.6254	572+863=
四则运算题目.6255	223-149-389=
四则运算题目.6256	156+873+118=
四则运算题目.6257	494*644=
四则运算题目.6258	842+269=
四则运算题目.6259	216*299-128=
四则运算题目.6260	598+466*735=
四则运算题目.6261	414/686*195=
四则运算题目.6262	280/245-267=
四则运算题目.6263	853-178*474=
四则运算题目.6264	124+934=
四则运算题目.6265	773*490=
四则运算题目.6266	4+783-379=
四则运算题目.6267	294/131-592=
四则运算题目.6268	438/824*749=
四则运算题目.6269	663-847*245=
四则运算题目.6270	419*250=
四则运算题目.6271	197+843=
四则运算题目.6272	44+861*908=
四则运算题目.6273	864/777+7=
四则运算题目.6274	77+675=
四则运算题目.6275	978+501-256=
四则运算题目.6276	378-441*445=
四则运算题目.6277	308/604+599=
四则运算题目.6278	860+178=
四则运算题目.6279	767-289=
四则运算题目.6280	256+690/936=
四则运算题目.6281	362+693*337=
四则运算题目.6282	981+971*148=
四则运算题目.6283	913-987-779=
四则运算题目.6284	794+519=
四则运算题目.6285	97-829*713=
四则运算题目.6286	509+41=
四则运算题目.6287	237*27=
四则运算题目.6288	617+191/559=
四则运算题目.6289	692*630/98=
四则运算题目.6290	770/27=
四则运算题目.6291	136*990-14=
四则运算题目.6292	777*691=
四则运算题目.6293	708+250*649=
四则运算题目.6294	323-762-880=
四则运算题目.6295	576*606/766=
四则运算题目.6296	142*780/781=
四则运算题目.6297	732+959+417=
四则运算题目.6298	595+495=
四则运算题目.6299	497*829=
四则运算题目.6300	255+901=
四则运算题目.6301	770*420+802=
四则运算题目.6302	530/88*120=
四则运算题目.6303	17/687*238=
四则运算题目.6304	791/493+781=
四则运算题目.6305	379*722=
四则运算题目.6306	713/238=
四则运算题目.6307	753+592*120=
四则运算题目.6308	495/140=
四则运算题目.6309	616-383*168=
四则运算题目.6310	463/251/64=
四则运算题目.6311	140*942=
四则运算题目.6312	19-866+209=
四则运算题目.6313	397/668=
四则运算题目.6314	570-834/722=
四则运算题目.6315	915*182=
四则运算题目.6316	36/54=
四则运算题目.6317	260+621=
四则运算题目.6318	917/694*679=
四则运算题目.6319	911*724=
四则运算题目.6320	553*993+814=
四则运算题目.6321	118-573-156=
四则运算题目.6322	3+880-33=
四则运算题目.6323	876/662=
四则运算题目.6324	822+976+668=
四则运算题目.6325	191/191*780=
四则运算题目.6326	598*405+671=
四则运算题目.6327	388*802/647=
四则运算题目.6328	852+623-593=
四则运算题目.6329	67-239-985=
四则运算题目.6330	597/575/773=
四则运算题目.6331	612+823=
四则运算题目.6332	896-823+450=
四则运算题目.6333	763+887-190=
四则运算题目.6334	634-695=
四则运算题目.6335	80-1000*871=
四则运算题目.6336	413*19+905=
四则运算题目.6337	566*468*329=
四则运算题目.6338	647*533*746=
四则运算题目.6339	32*507+17=
四则运算题目.6340	677+469/731=
四则运算题目.6341	152-17=
四则运算题目.6342	373-590*979=
四则运算题目.6343	258-285+771=
四则运算题目.6344	156/784-644=
四则运算题目.6345	363*301/927=
四则运算题目.6346	908+538/155=
四则运算题目.6347	644-793=
四则运算题目.6348	791-658/757=
