第0题的答案：	442'11/67
第5132题的答案：	-50801
第5133题的答案：	553/774399
第5134题的答案：	125'670/967
第5135题的答案：	475'32/215
第5136题的答案：	308407
第5137题的答案：	67'449/453
第5138题的答案：	32425
第5139题的答案：	4'169/175
第5140题的答案：	450110
第5141题的答案：	42
第5142题的答案：	358781
第5143题的答案：	509
第5144题的答案：	473
第5145题的答案：	261'498/521
第5146题的答案：	16464
第5147题的答案：	253547
第5148题的答案：	-208073/522
第5149题的答案：	1064
第5150题的答案：	165422
第5151题的答案：	144'72/137
第5152题的答案：	724044
第5153题的答案：	139358
第5154题的答案：	467
第5155题的答案：	-1351
第5156题的答案：	241500
第5157题的答案：	-897
第5158题的答案：	587558
第5159题的答案：	109566
第5160题的答案：	-205
第5161题的答案：	565'197/245
第5162题的答案：	9/2989
第5163题的答案：	19/5516
第5164题的答案：	-605
第5165题的答案：	-176
第5166题的答案：	297/598
第5167题的答案：	-877
第5168题的答案：	1899
第5169题的答案：	674824
第5170题的答案：	646690
第5171题的答案：	77112
第5172题的答案：	697
第5173题的答案：	569706
第5174题的答案：	-1140
第5175题的答案：	166991
第5176题的答案：	-56362/223
第5177题的答案：	995'1/7
第5178题的答案：	143'160/449
第5179题的答案：	352
第5180题的答案：	690'321/628
第5181题的答案：	257/359945
第5182题的答案：	-952285
第5183题的答案：	-370
第5184题的答案：	520219
第5185题的答案：	242109
第5186题的答案：	-678
第5187题的答案：	830
第5188题的答案：	801
第5189题的答案：	772'279/851
第5190题的答案：	306409
第5191题的答案：	-153145/157
第5192题的答案：	24285
第5193题的答案：	308'6/851
第5194题的答案：	149908110
第5195题的答案：	105260
第5196题的答案：	321'4/5
第5197题的答案：	470
第5198题的答案：	10400
第5199题的答案：	338/616713
第5200题的答案：	258
第5201题的答案：	311'209/426
第5202题的答案：	174'79/227
第5203题的答案：	1'373/555
第5204题的答案：	626/102821
第5205题的答案：	676'19/78
第5206题的答案：	90'398/429
第5207题的答案：	728
第5208题的答案：	103628
第5209题的答案：	724
第5210题的答案：	-457392
第5211题的答案：	492993
第5212题的答案：	-788334
第5213题的答案：	985'200/297
第5214题的答案：	278'46/137
第5215题的答案：	775'61/138
第5216题的答案：	1900
第5217题的答案：	131/9656
第5218题的答案：	131476
第5219题的答案：	-782147
第5220题的答案：	-43121/448
第5221题的答案：	692094
第5222题的答案：	859
第5223题的答案：	652828
第5224题的答案：	-448433/507
第5225题的答案：	385186
第5226题的答案：	106893695
第5227题的答案：	-384900/491
第5228题的答案：	-10826
第5229题的答案：	563
第5230题的答案：	-482102
第5231题的答案：	520803
第5232题的答案：	100748
第5233题的答案：	401158680
第5234题的答案：	115
第5235题的答案：	825
第5236题的答案：	330'188/295
第5237题的答案：	-148473/199
第5238题的答案：	107
第5239题的答案：	4516'8/13
第5240题的答案：	1377
第5241题的答案：	299557
第5242题的答案：	456244
第5243题的答案：	54581
第5244题的答案：	-345
第5245题的答案：	1182
第5246题的答案：	532'80/81
第5247题的答案：	-336235/751
第5248题的答案：	541
第5249题的答案：	304'9/80
第5250题的答案：	503/992
第5251题的答案：	275475
第5252题的答案：	52'827/919
第5253题的答案：	15759018
第5254题的答案：	266'536/739
第5255题的答案：	978
第5256题的答案：	997
第5257题的答案：	434/129833
第5258题的答案：	539
第5259题的答案：	737
第5260题的答案：	182'55/122
第5261题的答案：	-101224/389
第5262题的答案：	-494756/867
第5263题的答案：	2859'9/53
第5264题的答案：	401/241875
第5265题的答案：	1810
第5266题的答案：	462'149/417
第5267题的答案：	27'81/97
第5268题的答案：	135223
第5269题的答案：	791'13/139
第5270题的答案：	128
第5271题的答案：	870
第5272题的答案：	673
第5273题的答案：	367
第5274题的答案：	1'64/85
第5275题的答案：	-98667/218
第5276题的答案：	246'18/19
第5277题的答案：	1189
第5278题的答案：	2265
第5279题的答案：	753
第5280题的答案：	1240
第5281题的答案：	194/433
第5282题的答案：	335
第5283题的答案：	3042
第5284题的答案：	84'133/159
第5285题的答案：	178319
第5286题的答案：	816
第5287题的答案：	148
第5288题的答案：	46281326
第5289题的答案：	-1854
第5290题的答案：	11'7/16
第5291题的答案：	445/54216
第5292题的答案：	148410
第5293题的答案：	230208
第5294题的答案：	212579
第5295题的答案：	1946
第5296题的答案：	245'7/29
第5297题的答案：	1089'1/5
第5298题的答案：	986
第5299题的答案：	148'6/7
第5300题的答案：	728000
第5301题的答案：	800
第5302题的答案：	63279
第5303题的答案：	415521
第5304题的答案：	1978
第5305题的答案：	604
第5306题的答案：	357182
第5307题的答案：	491/7611
第5308题的答案：	694358
第5309题的答案：	193341
第5310题的答案：	3
第5311题的答案：	18210150
第5312题的答案：	335160
第5313题的答案：	444'22/79
第5314题的答案：	151'25/67
第5315题的答案：	-506258/535
第5316题的答案：	844'454/459
第5317题的答案：	-739
第5318题的答案：	74267028
第5319题的答案：	-149
第5320题的答案：	52992000
第5321题的答案：	-47339/689
第5322题的答案：	324
第5323题的答案：	95'3/10
第5324题的答案：	933
第5325题的答案：	241/190120
第5326题的答案：	513166
第5327题的答案：	-525
第5328题的答案：	145343440
第5329题的答案：	236
第5330题的答案：	739'209/493
第5331题的答案：	755'250/491
第5332题的答案：	8461
第5333题的答案：	1378
第5334题的答案：	1139
第5335题的答案：	313/443
第5336题的答案：	1130
第5337题的答案：	1404
第5338题的答案：	4'26/35
第5339题的答案：	491'39/457
第5340题的答案：	777/475978
第5341题的答案：	3417'12/19
第5342题的答案：	12308
第5343题的答案：	-52
第5344题的答案：	387510
第5345题的答案：	415
第5346题的答案：	248064
第5347题的答案：	80/401
第5348题的答案：	246473
第5349题的答案：	10'25/89
第5350题的答案：	484
第5351题的答案：	2045
第5352题的答案：	27463
第5353题的答案：	-113048/477
第5354题的答案：	82'2/39
第5355题的答案：	47320728
第5356题的答案：	679
第5357题的答案：	10302
第5358题的答案：	294'10/127
第5359题的答案：	577/44556
第5360题的答案：	375
第5361题的答案：	705574
第5362题的答案：	-1151/4
第5363题的答案：	347/752
第5364题的答案：	27916
第5365题的答案：	619'103/489
第5366题的答案：	378
第5367题的答案：	957'403/475
第5368题的答案：	813
第5369题的答案：	10100
第5370题的答案：	1'43/347
第5371题的答案：	80'362/943
第5372题的答案：	859
第5373题的答案：	-934
第5374题的答案：	202420
第5375题的答案：	258025
第5376题的答案：	1158
第5377题的答案：	36108
第5378题的答案：	275020
第5379题的答案：	57211
第5380题的答案：	261/132160
第5381题的答案：	1258'14/61
第5382题的答案：	-122
第5383题的答案：	1'585/821
第5384题的答案：	-344
第5385题的答案：	47427
第5386题的答案：	822'137/429
第5387题的答案：	648
第5388题的答案：	-998
第5389题的答案：	253/153900
第5390题的答案：	24250
第5391题的答案：	12'11/26
第5392题的答案：	46'37/43
第5393题的答案：	236925
第5394题的答案：	542'30/833
第5395题的答案：	-473
第5396题的答案：	10'21/22
第5397题的答案：	-514
第5398题的答案：	1452
第5399题的答案：	428'9/46
第5400题的答案：	1390'278/305
第5401题的答案：	-1
第5402题的答案：	1342
第5403题的答案：	-46
第5404题的答案：	88'51/74
第5405题的答案：	-516
第5406题的答案：	847
第5407题的答案：	186'290/831
第5408题的答案：	611'4/11
第5409题的答案：	1652
第5410题的答案：	2577
第5411题的答案：	181/277
第5412题的答案：	75133
第5413题的答案：	134573
第5414题的答案：	761452
第5415题的答案：	276
第5416题的答案：	-1148
第5417题的答案：	625
第5418题的答案：	780'289/468
第5419题的答案：	1764
第5420题的答案：	1'391/472
第5421题的答案：	273'381/896
第5422题的答案：	-336
第5423题的答案：	259/22016
第5424题的答案：	42'41/99
第5425题的答案：	-462713/896
第5426题的答案：	-1054
第5427题的答案：	-605
第5428题的答案：	1'75/161
第5429题的答案：	3/11
第5430题的答案：	67/45630
第5431题的答案：	49964800
第5432题的答案：	39444
第5433题的答案：	-192
第5434题的答案：	3'139/235
第5435题的答案：	-160
第5436题的答案：	-411451
第5437题的答案：	875'39/47
第5438题的答案：	109'103/252
第5439题的答案：	311
第5440题的答案：	1288'71/567
第5441题的答案：	83538
第5442题的答案：	80'40/401
第5443题的答案：	715'97/129
第5444题的答案：	174
第5445题的答案：	50958570
第5446题的答案：	418'43/75
第5447题的答案：	631
第5448题的答案：	1'318/521
第5449题的答案：	727
第5450题的答案：	39929
第5451题的答案：	530'65/426
第5452题的答案：	133'471/575
第5453题的答案：	305047
第5454题的答案：	-284090
第5455题的答案：	507861
第5456题的答案：	409/604
第5457题的答案：	53938512
第5458题的答案：	-74403
第5459题的答案：	89/119
第5460题的答案：	572883
第5461题的答案：	-490407/610
第5462题的答案：	872'215/961
第5463题的答案：	674'27/38
第5464题的答案：	-630
第5465题的答案：	243'295/974
第5466题的答案：	88'92/99
第5467题的答案：	946
第5468题的答案：	361872
第5469题的答案：	473
第5470题的答案：	203/257
第5471题的答案：	657'1/2
第5472题的答案：	232428315
第5473题的答案：	116946
第5474题的答案：	369477
第5475题的答案：	725/11439
第5476题的答案：	182938
第5477题的答案：	412/247411
第5478题的答案：	-33855/202
第5479题的答案：	446'91/296
第5480题的答案：	-80
第5481题的答案：	711
第5482题的答案：	361/211365
第5483题的答案：	1928
第5484题的答案：	6'173/605
第5485题的答案：	-790
第5486题的答案：	1185
第5487题的答案：	417'56/111
第5488题的答案：	287430
第5489题的答案：	498'105/442
第5490题的答案：	758
第5491题的答案：	854
第5492题的答案：	59543
第5493题的答案：	528
第5494题的答案：	479457
第5495题的答案：	-46
第5496题的答案：	-323843
第5497题的答案：	-48683/813
第5498题的答案：	-267
第5499题的答案：	256'112/585
第5500题的答案：	108022
第5501题的答案：	421
第5502题的答案：	1306
第5503题的答案：	-29911/78
第5504题的答案：	921'1/174
第5505题的答案：	697/701
第5506题的答案：	2572'31/43
第5507题的答案：	216
第5508题的答案：	642600
第5509题的答案：	2'2/29
第5510题的答案：	1026
第5511题的答案：	-115
第5512题的答案：	327'161/397
第5513题的答案：	24296250
第5514题的答案：	583025
第5515题的答案：	865
第5516题的答案：	1'115/846
第5517题的答案：	333/380
第5518题的答案：	773'119/155
第5519题的答案：	641908
第5520题的答案：	400'57/110
第5521题的答案：	770
第5522题的答案：	-690
第5523题的答案：	44439
第5524题的答案：	13'253/785
第5525题的答案：	-177420
第5526题的答案：	108
第5527题的答案：	839'549/698
第5528题的答案：	382'140/719
第5529题的答案：	-21973/202
第5530题的答案：	239201
第5531题的答案：	741/252322
第5532题的答案：	160293
第5533题的答案：	191/38205
第5534题的答案：	1245
第5535题的答案：	681252
第5536题的答案：	193437
第5537题的答案：	423'408/523
第5538题的答案：	318891
第5539题的答案：	118359
第5540题的答案：	3358056
第5541题的答案：	184725
第5542题的答案：	502572
第5543题的答案：	732858
第5544题的答案：	1690
第5545题的答案：	-135018
第5546题的答案：	-38191/44
第5547题的答案：	429389
第5548题的答案：	422'11/16
第5549题的答案：	75
第5550题的答案：	227'69/715
第5551题的答案：	-87507/253
第5552题的答案：	519533
第5553题的答案：	1399
第5554题的答案：	12'35/71
第5555题的答案：	294
第5556题的答案：	48'581/804
第5557题的答案：	302197
第5558题的答案：	1244
第5559题的答案：	-240427/576
第5560题的答案：	-86136
第5561题的答案：	967
第5562题的答案：	-344
第5563题的答案：	993'215/268
第5564题的答案：	312
第5565题的答案：	43/14595
第5566题的答案：	5'90/149
第5567题的答案：	281'310/823
第5568题的答案：	-414388/901
第5569题的答案：	1'283/291
第5570题的答案：	-717
第5571题的答案：	1092'18/77
第5572题的答案：	-62414/923
第5573题的答案：	994'5/324
第5574题的答案：	1'152/575
第5575题的答案：	-1012
第5576题的答案：	597
第5577题的答案：	445'19/192
第5578题的答案：	-295
第5579题的答案：	837
第5580题的答案：	969
第5581题的答案：	-125
第5582题的答案：	256850
第5583题的答案：	860
第5584题的答案：	566973
第5585题的答案：	378
第5586题的答案：	15515640
第5587题的答案：	51'259/739
第5588题的答案：	748
第5589题的答案：	843'155/196
第5590题的答案：	162'20/113
第5591题的答案：	249/421
第5592题的答案：	7959
第5593题的答案：	355'172/179
第5594题的答案：	363
第5595题的答案：	1281
第5596题的答案：	997
第5597题的答案：	366
第5598题的答案：	1581
第5599题的答案：	299652
第5600题的答案：	118888
第5601题的答案：	731
第5602题的答案：	878882144
第5603题的答案：	102050
第5604题的答案：	20884
第5605题的答案：	-213
第5606题的答案：	215'17/148
第5607题的答案：	-237
第5608题的答案：	3897488
第5609题的答案：	40344
第5610题的答案：	292'955/963
第5611题的答案：	294553
第5612题的答案：	344'239/298
第5613题的答案：	-188683
第5614题的答案：	120540
第5615题的答案：	841'11/318
第5616题的答案：	335'620/777
第5617题的答案：	763
第5618题的答案：	37425024
第5619题的答案：	-136960/151
第5620题的答案：	996
第5621题的答案：	190/391
第5622题的答案：	-315
第5623题的答案：	255'44/197
第5624题的答案：	1343
第5625题的答案：	-95768/175
第5626题的答案：	290716
第5627题的答案：	43348275
第5628题的答案：	976'3/8
第5629题的答案：	1'171/202
第5630题的答案：	1114
第5631题的答案：	127815
第5632题的答案：	70'310/379
第5633题的答案：	245847
第5634题的答案：	-127995
第5635题的答案：	-154312
第5636题的答案：	300'30/113
第5637题的答案：	492'139/171
第5638题的答案：	1648
第5639题的答案：	360320
第5640题的答案：	61
第5641题的答案：	381
第5642题的答案：	522
第5643题的答案：	157/47891
第5644题的答案：	890'16/37
第5645题的答案：	48750912
第5646题的答案：	942745
第5647题的答案：	-372722
第5648题的答案：	198'584/891
第5649题的答案：	101/40803
第5650题的答案：	-73336/105
第5651题的答案：	327'82/167
第5652题的答案：	3787'59/63
第5653题的答案：	-129
第5654题的答案：	-385
第5655题的答案：	62245
第5656题的答案：	1'37/125
第5657题的答案：	118'4/329
第5658题的答案：	177648
第5659题的答案：	88
第5660题的答案：	350'27/31
第5661题的答案：	15645
第5662题的答案：	1'184/619
第5663题的答案：	824'67/157
第5664题的答案：	94/645
第5665题的答案：	80/87
第5666题的答案：	-432
第5667题的答案：	-93
第5668题的答案：	-79441/86
第5669题的答案：	-441
第5670题的答案：	149563
第5671题的答案：	-223977/464
第5672题的答案：	159/817
第5673题的答案：	794
第5674题的答案：	-696485
第5675题的答案：	49'293/628
第5676题的答案：	10418
第5677题的答案：	8'85/96
第5678题的答案：	-308899
第5679题的答案：	-243
第5680题的答案：	25'1/9
第5681题的答案：	776
第5682题的答案：	135315279
第5683题的答案：	716
第5684题的答案：	896'3/91
第5685题的答案：	-244
第5686题的答案：	989'437/457
第5687题的答案：	747'887/955
第5688题的答案：	453639
第5689题的答案：	-22
第5690题的答案：	730
第5691题的答案：	725'23/157
第5692题的答案：	-624
第5693题的答案：	357
第5694题的答案：	85'32/85
第5695题的答案：	1644
第5696题的答案：	266
第5697题的答案：	-315433/326
第5698题的答案：	-510
第5699题的答案：	2'154/283
第5700题的答案：	78014
第5701题的答案：	803418
第5702题的答案：	-205009
第5703题的答案：	1176'103/346
第5704题的答案：	546'779/881
第5705题的答案：	14476
第5706题的答案：	29/111
第5707题的答案：	-414
第5708题的答案：	-5253/95
第5709题的答案：	181622
第5710题的答案：	164'185/813
第5711题的答案：	339/395
第5712题的答案：	311656
第5713题的答案：	-1096
第5714题的答案：	670'125/147
第5715题的答案：	-295
第5716题的答案：	96'14/123
第5717题的答案：	520'26/111
第5718题的答案：	109
第5719题的答案：	-114284
第5720题的答案：	108843
第5721题的答案：	777
第5722题的答案：	19353'18/23
第5723题的答案：	-719
第5724题的答案：	825
第5725题的答案：	516750
第5726题的答案：	-15678/37
第5727题的答案：	149184
第5728题的答案：	984
第5729题的答案：	656'43/52
第5730题的答案：	-1056
第5731题的答案：	2/21
第5732题的答案：	1253
第5733题的答案：	8
第5734题的答案：	39
第5735题的答案：	547'103/191
第5736题的答案：	-239
第5737题的答案：	11
第5738题的答案：	-279665
第5739题的答案：	-358882/859
第5740题的答案：	47045
第5741题的答案：	868
第5742题的答案：	604'337/567
第5743题的答案：	289/91225
第5744题的答案：	1157
第5745题的答案：	121320
第5746题的答案：	522'61/119
第5747题的答案：	110260
第5748题的答案：	2'61/256
第5749题的答案：	252453
第5750题的答案：	1101
第5751题的答案：	698093
第5752题的答案：	281940
第5753题的答案：	1588
第5754题的答案：	802'4/319
第5755题的答案：	-154377/703
第5756题的答案：	935/253172
第5757题的答案：	-23
第5758题的答案：	244
第5759题的答案：	164712
第5760题的答案：	251
第5761题的答案：	884
第5762题的答案：	15
第5763题的答案：	312'5/26
第5764题的答案：	321
第5765题的答案：	611'51/716
第5766题的答案：	-89
第5767题的答案：	-385534/405
第5768题的答案：	177
第5769题的答案：	-82336/397
第5770题的答案：	46815
第5771题的答案：	483'58/157
第5772题的答案：	792
第5773题的答案：	43432
第5774题的答案：	-217757/830
第5775题的答案：	133'211/467
第5776题的答案：	901'102/745
第5777题的答案：	193'535/826
第5778题的答案：	257692050
第5779题的答案：	374771
第5780题的答案：	103'158/289
第5781题的答案：	191436
第5782题的答案：	-282
第5783题的答案：	1411
第5784题的答案：	1'353/579
第5785题的答案：	68'189/688
第5786题的答案：	357
第5787题的答案：	6'133/134
第5788题的答案：	99/22102
第5789题的答案：	435'554/941
第5790题的答案：	6020
第5791题的答案：	233'83/227
第5792题的答案：	599
第5793题的答案：	-185
第5794题的答案：	-12
第5795题的答案：	378298
第5796题的答案：	85247712
第5797题的答案：	236'2/103
第5798题的答案：	-59332
第5799题的答案：	868'63/139
第5800题的答案：	691'4/85
第5801题的答案：	308'125/242
第5802题的答案：	-898
第5803题的答案：	-433315/471
第5804题的答案：	786'107/172
第5805题的答案：	500817
第5806题的答案：	-1277
第5807题的答案：	39410
第5808题的答案：	59
第5809题的答案：	107/719
第5810题的答案：	-16
第5811题的答案：	397
第5812题的答案：	575894
第5813题的答案：	229
第5814题的答案：	-153217/206
第5815题的答案：	445'89/99
第5816题的答案：	32922
第5817题的答案：	1740'52/393
第5818题的答案：	740'52/239
第5819题的答案：	-82562/591
第5820题的答案：	412
第5821题的答案：	72540
第5822题的答案：	944'13/15
第5823题的答案：	599'17/19
第5824题的答案：	1'133/519
第5825题的答案：	15'19/43
第5826题的答案：	750'1/188
第5827题的答案：	-531845
第5828题的答案：	620
第5829题的答案：	364695
第5830题的答案：	1503
第5831题的答案：	-35015/92
第5832题的答案：	66276
第5833题的答案：	4'8/33
第5834题的答案：	726'154/489
第5835题的答案：	277561
第5836题的答案：	751'1/10
第5837题的答案：	59
第5838题的答案：	788472
第5839题的答案：	81'343/464
第5840题的答案：	733'69/292
第5841题的答案：	1354
第5842题的答案：	675360
第5843题的答案：	690'839/923
第5844题的答案：	685
第5845题的答案：	336'11/29
第5846题的答案：	259/335943
第5847题的答案：	-231
第5848题的答案：	59109
第5849题的答案：	662'134/159
第5850题的答案：	87
第5851题的答案：	1676
第5852题的答案：	266/771
第5853题的答案：	-10
第5854题的答案：	620'101/107
第5855题的答案：	1'37/802
第5856题的答案：	1020'51/79
第5857题的答案：	556974
第5858题的答案：	1190
第5859题的答案：	1199
第5860题的答案：	1371
第5861题的答案：	417'33/136
第5862题的答案：	-194088
第5863题的答案：	257759
第5864题的答案：	874'68/95
第5865题的答案：	199725
第5866题的答案：	10773
第5867题的答案：	-48460
第5868题的答案：	2'119/169
第5869题的答案：	12'13/58
第5870题的答案：	171
第5871题的答案：	118440
第5872题的答案：	1195
第5873题的答案：	-1170
第5874题的答案：	17/278
第5875题的答案：	237330
第5876题的答案：	-54581/254
第5877题的答案：	434
第5878题的答案：	5637'15/73
第5879题的答案：	294261
第5880题的答案：	348468000
第5881题的答案：	215/318091
第5882题的答案：	1614
第5883题的答案：	113251
第5884题的答案：	432
第5885题的答案：	939
第5886题的答案：	-292
第5887题的答案：	3'1/97
第5888题的答案：	643798
第5889题的答案：	436281
第5890题的答案：	928
第5891题的答案：	-846
第5892题的答案：	335'205/233
第5893题的答案：	5'21/137
第5894题的答案：	1'2/187
第5895题的答案：	-416
第5896题的答案：	179
第5897题的答案：	456757
第5898题的答案：	-156241
第5899题的答案：	215'77/151
第5900题的答案：	-442471
第5901题的答案：	1'13/42
第5902题的答案：	-7466/97
第5903题的答案：	909090
第5904题的答案：	1072
第5905题的答案：	2'309/322
第5906题的答案：	1242
第5907题的答案：	32777
第5908题的答案：	-503809/525
第5909题的答案：	580362
第5910题的答案：	207056
第5911题的答案：	731'19/21
第5912题的答案：	-115
第5913题的答案：	27839
第5914题的答案：	-1492
第5915题的答案：	-825
第5916题的答案：	13'23/129
第5917题的答案：	17407280
第5918题的答案：	162'639/698
第5919题的答案：	119930
第5920题的答案：	58647
第5921题的答案：	746
第5922题的答案：	572'132/301
第5923题的答案：	805
第5924题的答案：	1664
第5925题的答案：	107/6822
第5926题的答案：	104832
第5927题的答案：	-122
第5928题的答案：	-437
第5929题的答案：	862
第5930题的答案：	226
第5931题的答案：	620
第5932题的答案：	885'44/119
第5933题的答案：	9633988
第5934题的答案：	1673
第5935题的答案：	-111175
第5936题的答案：	4111'51/77
第5937题的答案：	-33
第5938题的答案：	1017
第5939题的答案：	149578
第5940题的答案：	742
第5941题的答案：	394
第5942题的答案：	642
第5943题的答案：	89721801
第5944题的答案：	-247
第5945题的答案：	323750
第5946题的答案：	-664
第5947题的答案：	13/281556
第5948题的答案：	851
第5949题的答案：	245730
第5950题的答案：	136'3/152
第5951题的答案：	403/977
第5952题的答案：	391614
第5953题的答案：	649370
第5954题的答案：	-118138/139
第5955题的答案：	322'324/521
第5956题的答案：	95987
第5957题的答案：	-343990
第5958题的答案：	58'5/11
第5959题的答案：	55038
第5960题的答案：	-5422/7
第5961题的答案：	1306
第5962题的答案：	-156031
第5963题的答案：	944'74/669
第5964题的答案：	142091
第5965题的答案：	517'813/904
第5966题的答案：	1396
第5967题的答案：	16'16/17
第5968题的答案：	1321
第5969题的答案：	116964
第5970题的答案：	-533
第5971题的答案：	926
第5972题的答案：	15'3/32
第5973题的答案：	261/860
第5974题的答案：	1134
第5975题的答案：	311
第5976题的答案：	54/181
第5977题的答案：	262
第5978题的答案：	164434
第5979题的答案：	120231
第5980题的答案：	468
第5981题的答案：	246'100/253
第5982题的答案：	554584
第5983题的答案：	366638
第5984题的答案：	1263'51/196
第5985题的答案：	122271688
第5986题的答案：	37/698
第5987题的答案：	273/716
第5988题的答案：	647'80/447
第5989题的答案：	533423
第5990题的答案：	16020
第5991题的答案：	-265
第5992题的答案：	409025
第5993题的答案：	122409
第5994题的答案：	299
第5995题的答案：	-376
第5996题的答案：	385016
第5997题的答案：	836
第5998题的答案：	100672
第5999题的答案：	544417
第6000题的答案：	25/32
第6001题的答案：	-58
第6002题的答案：	1490
第6003题的答案：	341/382
第6004题的答案：	657'79/641
第6005题的答案：	9'168/311
第6006题的答案：	520402
第6007题的答案：	1742'122/269
第6008题的答案：	624'109/542
第6009题的答案：	-361
第6010题的答案：	102546
第6011题的答案：	94'4/55
第6012题的答案：	929
第6013题的答案：	324410472
第6014题的答案：	-153544/435
第6015题的答案：	486164
第6016题的答案：	17420
第6017题的答案：	247/435
第6018题的答案：	1419
第6019题的答案：	70610
第6020题的答案：	36'562/711
第6021题的答案：	-998
第6022题的答案：	568
第6023题的答案：	219871040
第6024题的答案：	374256
第6025题的答案：	411
第6026题的答案：	686'11/38
第6027题的答案：	-837
第6028题的答案：	1'19/79
第6029题的答案：	572'272/635
第6030题的答案：	754
第6031题的答案：	530'62/389
第6032题的答案：	-294193/384
第6033题的答案：	65/80172
第6034题的答案：	749'381/863
第6035题的答案：	218696
第6036题的答案：	733'47/174
第6037题的答案：	1456
第6038题的答案：	1282
第6039题的答案：	349
第6040题的答案：	-139
第6041题的答案：	78'75/559
第6042题的答案：	200'254/433
第6043题的答案：	-64
第6044题的答案：	7/71104
第6045题的答案：	55625
第6046题的答案：	2525'219/239
第6047题的答案：	775116
第6048题的答案：	482256
第6049题的答案：	87'67/90
第6050题的答案：	-154
第6051题的答案：	295'86/345
第6052题的答案：	133812
第6053题的答案：	-207854/245
第6054题的答案：	604
第6055题的答案：	7'6/11
第6056题的答案：	6041
第6057题的答案：	-545
第6058题的答案：	63112
第6059题的答案：	848097
第6060题的答案：	-25729/56
第6061题的答案：	127'83/406
第6062题的答案：	-82304/159
第6063题的答案：	728'34/79
第6064题的答案：	714/971
第6065题的答案：	367/95530
第6066题的答案：	504
第6067题的答案：	532016
第6068题的答案：	2032
第6069题的答案：	-1162
第6070题的答案：	82
第6071题的答案：	325
第6072题的答案：	548
第6073题的答案：	619
第6074题的答案：	195'111/167
第6075题的答案：	0
第6076题的答案：	894'91/151
第6077题的答案：	373/805179
第6078题的答案：	-7916
第6079题的答案：	1077
第6080题的答案：	-514123/561
第6081题的答案：	48785
第6082题的答案：	-251262
第6083题的答案：	759'161/186
第6084题的答案：	1358
第6085题的答案：	-654
第6086题的答案：	74809
第6087题的答案：	459
第6088题的答案：	416'787/837
第6089题的答案：	315'27/799
第6090题的答案：	263
第6091题的答案：	-368
第6092题的答案：	1361
第6093题的答案：	9611
第6094题的答案：	2852'101/154
第6095题的答案：	689/96208
第6096题的答案：	232'160/313
第6097题的答案：	134
第6098题的答案：	-137
第6099题的答案：	168'198/325
第6100题的答案：	436
第6101题的答案：	1276
第6102题的答案：	6'14/19
第6103题的答案：	378659
第6104题的答案：	332'140/169
第6105题的答案：	700
第6106题的答案：	1047
第6107题的答案：	847'47/486
第6108题的答案：	1330
第6109题的答案：	37061
第6110题的答案：	859
第6111题的答案：	240693504
第6112题的答案：	-506
第6113题的答案：	594
第6114题的答案：	18329
第6115题的答案：	158088
第6116题的答案：	457/85090
第6117题的答案：	250
第6118题的答案：	819667
第6119题的答案：	1586
第6120题的答案：	-57657/131
第6121题的答案：	85880
第6122题的答案：	736
第6123题的答案：	1652'2/59
第6124题的答案：	766
第6125题的答案：	202230
第6126题的答案：	495030
第6127题的答案：	249/39610
第6128题的答案：	409'16/275
第6129题的答案：	470
第6130题的答案：	2367850
第6131题的答案：	855
第6132题的答案：	43308
第6133题的答案：	1353
第6134题的答案：	9259
第6135题的答案：	710323
第6136题的答案：	769
第6137题的答案：	910'5/36
第6138题的答案：	-11897/59
第6139题的答案：	311/15092
第6140题的答案：	12144
第6141题的答案：	233/6288
第6142题的答案：	1737
第6143题的答案：	1658
第6144题的答案：	1300
第6145题的答案：	356041
第6146题的答案：	755'7/115
第6147题的答案：	230
第6148题的答案：	52210
第6149题的答案：	371
第6150题的答案：	972
第6151题的答案：	643'691/952
第6152题的答案：	916
第6153题的答案：	243
第6154题的答案：	869302
第6155题的答案：	81072
第6156题的答案：	-159756
第6157题的答案：	409/61600
第6158题的答案：	191'163/417
第6159题的答案：	-103
第6160题的答案：	61452
第6161题的答案：	1759'17/138
第6162题的答案：	874'23/66
第6163题的答案：	982
第6164题的答案：	-553
第6165题的答案：	486
第6166题的答案：	117'6/61
第6167题的答案：	272129160
第6168题的答案：	803
第6169题的答案：	99302
第6170题的答案：	43'485/658
第6171题的答案：	-895751
第6172题的答案：	1587
第6173题的答案：	40803
第6174题的答案：	136
第6175题的答案：	497/732
第6176题的答案：	2347650
第6177题的答案：	42813
第6178题的答案：	-171
第6179题的答案：	727
第6180题的答案：	-168198
第6181题的答案：	-74681/673
第6182题的答案：	20/279
第6183题的答案：	637
第6184题的答案：	3124
第6185题的答案：	784'235/352
第6186题的答案：	56087
第6187题的答案：	5
第6188题的答案：	218700
第6189题的答案：	681
第6190题的答案：	477531
第6191题的答案：	397/335880
第6192题的答案：	511319
第6193题的答案：	225738
第6194题的答案：	-4
第6195题的答案：	-524
第6196题的答案：	949639
第6197题的答案：	413'358/459
第6198题的答案：	90'66/367
第6199题的答案：	300'95/219
第6200题的答案：	433'27/53
第6201题的答案：	1317
第6202题的答案：	1923
第6203题的答案：	5'93/151
第6204题的答案：	432
第6205题的答案：	906'276/539
第6206题的答案：	1100'164/307
第6207题的答案：	369
第6208题的答案：	-520337
第6209题的答案：	504850
